observation_date,Almanya_SURETIM
01-01-00,79.15593
02-01-00,80.89562
03-01-00,80.79897
04-01-00,81.95876
05-01-00,83.89175
06-01-00,81.47552
07-01-00,83.50516
08-01-00,83.98840
09-01-00,84.08505
10-01-00,83.79510
11-01-00,84.18170
12-01-00,84.56830
01-01-01,84.27835
02-01-01,85.24484
03-01-01,84.18170
04-01-01,83.11855
05-01-01,83.89175
06-01-01,83.79510
07-01-01,81.66882
08-01-01,83.89175
09-01-01,82.73196
10-01-01,81.18557
11-01-01,80.41237
12-01-01,81.28222
01-01-02,81.08892
02-01-02,81.28222
03-01-02,81.76546
04-01-02,81.95876
05-01-02,81.28222
06-01-02,82.92525
07-01-02,81.66882
08-01-02,83.40851
09-01-02,82.63531
10-01-02,81.95876
11-01-02,83.02190
12-01-02,81.66882
01-01-03,82.44201
02-01-03,82.73196
03-01-03,82.73196
04-01-03,82.44201
05-01-03,81.95876
06-01-03,81.47552
07-01-03,83.02190
08-01-03,81.37887
09-01-03,80.89562
10-01-03,83.11855
11-01-03,83.69846
12-01-03,84.08505
01-01-04,84.18170
02-01-04,84.37500
03-01-04,83.69846
04-01-04,84.95490
05-01-04,85.63145
06-01-04,84.95490
07-01-04,86.11469
08-01-04,85.24484
09-01-04,85.05154
10-01-04,86.11469
11-01-04,84.66495
12-01-04,84.76160
01-01-05,86.59794
02-01-05,85.63145
03-01-05,86.59794
04-01-05,87.17783
05-01-05,86.21134
06-01-05,87.95103
07-01-05,89.11082
08-01-05,86.79124
09-01-05,88.82088
10-01-05,90.46392
11-01-05,89.59407
12-01-05,89.59407
01-01-06,90.56057
02-01-06,90.75387
03-01-06,89.88402
04-01-06,91.72036
05-01-06,92.59021
06-01-06,92.30025
07-01-06,93.84665
08-01-06,94.32990
09-01-06,94.03995
10-01-06,93.65335
11-01-06,95.29639
12-01-06,96.16624
01-01-07,95.87629
02-01-07,96.74613
03-01-07,97.22938
04-01-07,96.45618
05-01-07,98.19588
06-01-07,98.38918
07-01-07,99.06572
08-01-07,99.25902
09-01-07,100.12890
10-01-07,100.32220
11-01-07,100.03220
12-01-07,100.90210
01-01-08,101.77190
02-01-08,101.38530
03-01-08,101.28870
04-01-08,101.86860
05-01-08,99.54897
06-01-08,100.61210
07-01-08,99.06572
08-01-08,100.61210
09-01-08,98.67912
10-01-08,96.64948
11-01-08,92.39690
12-01-08,89.01418
01-01-09,82.82861
02-01-09,80.12242
03-01-09,80.21907
04-01-09,77.80283
05-01-09,81.18557
06-01-09,82.53866
07-01-09,81.57217
08-01-09,82.73196
09-01-09,86.01804
10-01-09,84.37500
11-01-09,84.85825
12-01-09,85.24484
01-01-10,86.40464
02-01-10,85.53479
03-01-10,87.56443
04-01-10,89.30412
05-01-10,92.20361
06-01-10,91.23711
07-01-10,91.23711
08-01-10,92.39690
09-01-10,93.55670
10-01-10,95.58634
11-01-10,95.00645
12-01-10,96.84278
01-01-11,96.16624
02-01-11,97.13273
03-01-11,97.51933
04-01-11,97.71263
05-01-11,98.67912
06-01-11,97.13273
07-01-11,100.22550
08-01-11,99.45232
09-01-11,97.90593
10-01-11,99.06572
11-01-11,98.38918
12-01-11,97.32603
01-01-12,97.71263
02-01-12,98.09923
03-01-12,98.87242
04-01-12,97.42268
05-01-12,99.06572
06-01-12,98.00258
07-01-12,98.77577
08-01-12,98.96907
09-01-12,97.71263
10-01-12,96.35954
11-01-12,95.68299
12-01-12,96.16624
01-01-13,95.29639
02-01-13,95.97294
03-01-13,97.71263
04-01-13,97.61598
05-01-13,96.84278
06-01-13,98.58247
07-01-13,97.03608
08-01-13,98.96907
09-01-13,98.67912
10-01-13,98.00258
11-01-13,99.64562
12-01-13,99.83892
01-01-14,99.16237
02-01-14,99.16237
03-01-14,99.45232
04-01-14,99.06572
05-01-14,98.58247
06-01-14,98.67912
07-01-14,100.32220
08-01-14,96.74613
09-01-14,99.16237
10-01-14,99.45232
11-01-14,99.35567
12-01-14,100.99870
01-01-15,98.58247
02-01-15,99.64562
03-01-15,99.64562
04-01-15,100.41880
05-01-15,100.61210
06-01-15,100.51550
07-01-15,101.96520
08-01-15,99.45232
09-01-15,99.64562
10-01-15,100.51550
11-01-15,99.25902
12-01-15,99.74227
01-01-16,101.28870
02-01-16,101.09540
03-01-16,100.32220
04-01-16,100.99870
05-01-16,99.35567
06-01-16,101.19200
07-01-16,99.93557
08-01-16,101.48200
09-01-16,101.19200
10-01-16,101.86860
11-01-16,101.67530
12-01-16,99.35567
01-01-17,101.09540
02-01-17,101.86860
03-01-17,101.38530
04-01-17,103.31830
05-01-17,103.60820
06-01-17,103.41490
07-01-17,103.89820
08-01-17,106.31440
09-01-17,105.25130
10-01-17,103.70490
11-01-17,107.37760
12-01-17,106.60440
01-01-18,105.92780
02-01-18,104.18810
03-01-18,105.83120
04-01-18,105.15460
05-01-18,106.70100
06-01-18,106.41110
07-01-18,104.57470
08-01-18,106.02450
09-01-18,104.76800
10-01-18,104.47810
11-01-18,102.54510
12-01-18,103.70490
01-01-19,103.41490
02-01-19,102.83510
03-01-19,103.89820
04-01-19,102.44850
05-01-19,102.83510
06-01-19,101.57860
07-01-19,101.19200
08-01-19,101.57860
09-01-19,100.61210
10-01-19,100.03220
11-01-19,100.32220
12-01-19,98.00258
01-01-20,100.99870
02-01-20,101.57860
03-01-20,91.23711
04-01-20,71.71392
05-01-20,79.73582
06-01-20,89.01418
07-01-20,90.94717
08-01-20,90.85052
09-01-20,93.17010
10-01-20,96.74613
11-01-20,97.90593
12-01-20,97.80928
