observation_date,Japonya_ISFAIZ
01-01-03,0.10000
02-01-03,0.09000
03-01-03,0.08000
04-01-03,0.08000
05-01-03,0.08000
06-01-03,0.09000
07-01-03,0.09000
08-01-03,0.09000
09-01-03,0.09000
10-01-03,0.09000
11-01-03,0.08000
12-01-03,0.10000
01-01-04,0.09000
02-01-04,0.09000
03-01-04,0.08000
04-01-04,0.08000
05-01-04,0.08000
06-01-04,0.09000
07-01-04,0.09000
08-01-04,0.09000
09-01-04,0.09000
10-01-04,0.09000
11-01-04,0.09000
12-01-04,0.10000
01-01-05,0.10000
02-01-05,0.10000
03-01-05,0.08000
04-01-05,0.08000
05-01-05,0.08000
06-01-05,0.09000
07-01-05,0.09000
08-01-05,0.09000
09-01-05,0.09000
10-01-05,0.09000
11-01-05,0.09000
12-01-05,0.10000
01-01-06,0.10360
02-01-06,0.11000
03-01-06,0.12550
04-01-06,0.14000
05-01-06,0.27000
06-01-06,0.35000
07-01-06,0.44000
08-01-06,0.43200
09-01-06,0.43600
10-01-06,0.44700
11-01-06,0.50200
12-01-06,0.54000
01-01-07,0.54000
02-01-07,0.66000
03-01-07,0.66000
04-01-07,0.65000
05-01-07,0.67000
06-01-07,0.73000
07-01-07,0.77000
08-01-07,0.84000
09-01-07,0.85000
10-01-07,0.85000
11-01-07,0.87000
12-01-07,0.86000
01-01-08,0.85000
02-01-08,0.85000
03-01-08,0.84000
04-01-08,0.84000
05-01-08,0.84000
06-01-08,0.86000
07-01-08,0.85000
08-01-08,0.85000
09-01-08,0.87000
10-01-08,0.89000
11-01-08,0.88000
12-01-08,0.74000
01-01-09,0.72000
02-01-09,0.71000
03-01-09,0.65000
04-01-09,0.60000
05-01-09,0.57000
06-01-09,0.56000
07-01-09,0.55000
08-01-09,0.54000
09-01-09,0.54000
10-01-09,0.53000
11-01-09,0.51000
12-01-09,0.46000
01-01-10,0.45000
02-01-10,0.44000
03-01-10,0.43000
04-01-10,0.40000
05-01-10,0.39000
06-01-10,0.38000
07-01-10,0.37000
08-01-10,0.36000
09-01-10,0.36000
10-01-10,0.34000
11-01-10,0.34000
12-01-10,0.34000
01-01-11,0.34000
02-01-11,0.34000
03-01-11,0.33615
04-01-11,0.33286
05-01-11,0.33214
06-01-11,0.33214
07-01-11,0.33214
08-01-11,0.32857
09-01-11,0.32929
10-01-11,0.32929
11-01-11,0.32929
12-01-11,0.32929
01-01-12,0.33077
02-01-12,0.33167
03-01-12,0.33167
04-01-12,0.33167
05-01-12,0.33167
06-01-12,0.33455
07-01-12,0.32727
08-01-12,0.32727
09-01-12,0.32727
10-01-12,0.32636
11-01-12,0.31818
12-01-12,0.30818
01-01-13,0.29182
02-01-13,0.26909
03-01-13,0.25000
04-01-13,0.22818
05-01-13,0.22818
06-01-13,0.22818
07-01-13,0.22800
08-01-13,0.22800
09-01-13,0.22800
10-01-13,0.22100
11-01-13,0.22000
12-01-13,0.22000
01-01-14,0.22000
02-01-14,0.21200
03-01-14,0.21200
04-01-14,0.21200
05-01-14,0.21000
06-01-14,0.21000
07-01-14,0.21000
08-01-14,0.21000
09-01-14,0.21000
10-01-14,0.19200
11-01-14,0.18200
12-01-14,0.17900
01-01-15,0.17300
02-01-15,0.17100
03-01-15,0.17000
04-01-15,0.17000
05-01-15,0.16900
06-01-15,0.16900
07-01-15,0.16900
08-01-15,0.16900
09-01-15,0.16900
10-01-15,0.16900
11-01-15,0.16900
12-01-15,0.16900
01-01-16,0.16900
02-01-16,0.09800
03-01-16,0.09800
04-01-16,0.06000
05-01-16,0.06000
06-01-16,0.05900
07-01-16,0.05800
08-01-16,0.05800
09-01-16,0.05600
10-01-16,0.05600
11-01-16,0.05600
12-01-16,0.05600
01-01-17,0.05600
02-01-17,0.05600
03-01-17,0.05600
04-01-17,0.05600
05-01-17,0.05600
06-01-17,0.05600
07-01-17,0.07500
08-01-17,0.05600
09-01-17,0.05600
10-01-17,0.06300
11-01-17,0.06300
12-01-17,0.06300
01-01-18,0.06800
02-01-18,0.06800
03-01-18,0.09700
04-01-18,0.09700
05-01-18,0.07800
06-01-18,0.07800
07-01-18,0.09100
08-01-18,0.09100
09-01-18,0.05000
10-01-18,0.05000
11-01-18,0.05000
12-01-18,0.05000
01-01-19,0.03000
02-01-19,0.03000
03-01-19,0.05000
04-01-19,0.05000
05-01-19,0.04900
06-01-19,0.04900
07-01-19,0.04900
08-01-19,0.00900
09-01-19,0.00900
10-01-19,0.00900
11-01-19,0.01800
12-01-19,0.02100
01-01-20,0.02100
02-01-20,0.02100
03-01-20,0.00600
04-01-20,-0.03900
05-01-20,-0.04200
06-01-20,-0.04200
07-01-20,-0.06500
08-01-20,-0.06500
09-01-20,-0.05500
10-01-20,-0.05500
11-01-20,-0.05500
12-01-20,-0.05500
