observation_date,ISFAİZ
01-01-00,5.95
02-01-00,6.01
03-01-00,6.14
04-01-00,6.28
05-01-00,6.71
06-01-00,6.73
07-01-00,6.67
08-01-00,6.61
09-01-00,6.60
10-01-00,6.67
11-01-00,6.65
12-01-00,6.45
01-01-01,5.62
02-01-01,5.26
03-01-01,4.89
04-01-01,4.53
05-01-01,4.02
06-01-01,3.74
07-01-01,3.66
08-01-01,3.48
09-01-01,2.87
10-01-01,2.31
11-01-01,2.03
12-01-01,1.83
01-01-02,1.74
02-01-02,1.82
03-01-02,1.91
04-01-02,1.87
05-01-02,1.82
06-01-02,1.81
07-01-02,1.79
08-01-02,1.73
09-01-02,1.76
10-01-02,1.73
11-01-02,1.39
12-01-02,1.34
01-01-03,1.29
02-01-03,1.27
03-01-03,1.23
04-01-03,1.24
05-01-03,1.22
06-01-03,1.04
07-01-03,1.05
08-01-03,1.08
09-01-03,1.08
10-01-03,1.10
11-01-03,1.11
12-01-03,1.10
01-01-04,1.06
02-01-04,1.05
03-01-04,1.05
04-01-04,1.08
05-01-04,1.20
06-01-04,1.46
07-01-04,1.57
08-01-04,1.68
09-01-04,1.86
10-01-04,2.04
11-01-04,2.26
12-01-04,2.45
01-01-05,2.61
02-01-05,2.77
03-01-05,2.97
04-01-05,3.09
05-01-05,3.22
06-01-05,3.38
07-01-05,3.57
08-01-05,3.77
09-01-05,3.87
10-01-05,4.13
11-01-05,4.31
12-01-05,4.45
01-01-06,4.56
02-01-06,4.72
03-01-06,4.88
04-01-06,5.03
05-01-06,5.15
06-01-06,5.35
07-01-06,5.46
08-01-06,5.38
09-01-06,5.34
10-01-06,5.33
11-01-06,5.32
12-01-06,5.32
01-01-07,5.32
02-01-07,5.31
03-01-07,5.30
04-01-07,5.31
05-01-07,5.31
06-01-07,5.33
07-01-07,5.32
08-01-07,5.49
09-01-07,5.46
10-01-07,5.08
11-01-07,4.97
12-01-07,5.02
01-01-08,3.84
02-01-08,3.06
03-01-08,2.79
04-01-08,2.85
05-01-08,2.66
06-01-08,2.76
07-01-08,2.79
08-01-08,2.79
09-01-08,3.59
10-01-08,4.32
11-01-08,2.36
12-01-08,1.77
01-01-09,1.02
02-01-09,1.16
03-01-09,1.07
04-01-09,0.89
05-01-09,0.57
06-01-09,0.39
07-01-09,0.35
08-01-09,0.30
09-01-09,0.25
10-01-09,0.24
11-01-09,0.21
12-01-09,0.22
01-01-10,0.20
02-01-10,0.19
03-01-10,0.23
04-01-10,0.30
05-01-10,0.45
06-01-10,0.52
07-01-10,0.41
08-01-10,0.32
09-01-10,0.28
10-01-10,0.27
11-01-10,0.27
12-01-10,0.30
01-01-11,0.29
02-01-11,0.28
03-01-11,0.28
04-01-11,0.23
05-01-11,0.21
06-01-11,0.22
07-01-11,0.24
08-01-11,0.29
09-01-11,0.33
10-01-11,0.37
11-01-11,0.41
12-01-11,0.49
01-01-12,0.40
02-01-12,0.30
03-01-12,0.29
04-01-12,0.29
05-01-12,0.29
06-01-12,0.32
07-01-12,0.30
08-01-12,0.26
09-01-12,0.24
10-01-12,0.23
11-01-12,0.23
12-01-12,0.24
01-01-13,0.23
02-01-13,0.22
03-01-13,0.21
04-01-13,0.20
05-01-13,0.20
06-01-13,0.19
07-01-13,0.14
08-01-13,0.12
09-01-13,0.11
10-01-13,0.12
11-01-13,0.12
12-01-13,0.14
01-01-14,0.12
02-01-14,0.13
03-01-14,0.12
04-01-14,0.12
05-01-14,0.11
06-01-14,0.11
07-01-14,0.13
08-01-14,0.13
09-01-14,0.12
10-01-14,0.12
11-01-14,0.13
12-01-14,0.15
01-01-15,0.16
02-01-15,0.15
03-01-15,0.14
04-01-15,0.13
05-01-15,0.15
06-01-15,0.18
07-01-15,0.19
08-01-15,0.26
09-01-15,0.27
10-01-15,0.25
11-01-15,0.30
12-01-15,0.54
01-01-16,0.57
02-01-16,0.54
03-01-16,0.55
04-01-16,0.55
05-01-16,0.57
06-01-16,0.55
07-01-16,0.62
08-01-16,0.73
09-01-16,0.75
10-01-16,0.72
11-01-16,0.71
12-01-16,0.87
01-01-17,0.90
02-01-17,0.87
03-01-17,0.98
04-01-17,1.03
05-01-17,1.05
06-01-17,1.16
07-01-17,1.22
08-01-17,1.25
09-01-17,1.25
10-01-17,1.26
11-01-17,1.32
12-01-17,1.54
01-01-18,1.63
02-01-18,1.78
03-01-18,2.08
04-01-18,2.20
05-01-18,2.16
06-01-18,2.19
07-01-18,2.17
08-01-18,2.19
09-01-18,2.24
10-01-18,2.37
11-01-18,2.56
12-01-18,2.69
01-01-19,2.59
02-01-19,2.49
03-01-19,2.48
04-01-19,2.47
05-01-19,2.44
06-01-19,2.30
07-01-19,2.22
08-01-19,2.06
09-01-19,2.03
10-01-19,1.88
11-01-19,1.77
12-01-19,1.76
01-01-20,1.65
02-01-20,1.59
03-01-20,1.35
04-01-20,
05-01-20,0.17
06-01-20,0.20
07-01-20,0.18
08-01-20,0.15
09-01-20,0.13
10-01-20,0.12
11-01-20,0.16
12-01-20,0.17
