observation_date,ISSIZLIK
01-01-00,4.0
02-01-00,4.1
03-01-00,4.0
04-01-00,3.8
05-01-00,4.0
06-01-00,4.0
07-01-00,4.0
08-01-00,4.1
09-01-00,3.9
10-01-00,3.9
11-01-00,3.9
12-01-00,3.9
01-01-01,4.2
02-01-01,4.2
03-01-01,4.3
04-01-01,4.4
05-01-01,4.3
06-01-01,4.5
07-01-01,4.6
08-01-01,4.9
09-01-01,5.0
10-01-01,5.3
11-01-01,5.5
12-01-01,5.7
01-01-02,5.7
02-01-02,5.7
03-01-02,5.7
04-01-02,5.9
05-01-02,5.8
06-01-02,5.8
07-01-02,5.8
08-01-02,5.7
09-01-02,5.7
10-01-02,5.7
11-01-02,5.9
12-01-02,6.0
01-01-03,5.8
02-01-03,5.9
03-01-03,5.9
04-01-03,6.0
05-01-03,6.1
06-01-03,6.3
07-01-03,6.2
08-01-03,6.1
09-01-03,6.1
10-01-03,6.0
11-01-03,5.8
12-01-03,5.7
01-01-04,5.7
02-01-04,5.6
03-01-04,5.8
04-01-04,5.6
05-01-04,5.6
06-01-04,5.6
07-01-04,5.5
08-01-04,5.4
09-01-04,5.4
10-01-04,5.5
11-01-04,5.4
12-01-04,5.4
01-01-05,5.3
02-01-05,5.4
03-01-05,5.2
04-01-05,5.2
05-01-05,5.1
06-01-05,5.0
07-01-05,5.0
08-01-05,4.9
09-01-05,5.0
10-01-05,5.0
11-01-05,5.0
12-01-05,4.9
01-01-06,4.7
02-01-06,4.8
03-01-06,4.7
04-01-06,4.7
05-01-06,4.6
06-01-06,4.6
07-01-06,4.7
08-01-06,4.7
09-01-06,4.5
10-01-06,4.4
11-01-06,4.5
12-01-06,4.4
01-01-07,4.6
02-01-07,4.5
03-01-07,4.4
04-01-07,4.5
05-01-07,4.4
06-01-07,4.6
07-01-07,4.7
08-01-07,4.6
09-01-07,4.7
10-01-07,4.7
11-01-07,4.7
12-01-07,5.0
01-01-08,5.0
02-01-08,4.9
03-01-08,5.1
04-01-08,5.0
05-01-08,5.4
06-01-08,5.6
07-01-08,5.8
08-01-08,6.1
09-01-08,6.1
10-01-08,6.5
11-01-08,6.8
12-01-08,7.3
01-01-09,7.8
02-01-09,8.3
03-01-09,8.7
04-01-09,9.0
05-01-09,9.4
06-01-09,9.5
07-01-09,9.5
08-01-09,9.6
09-01-09,9.8
10-01-09,10.0
11-01-09,9.9
12-01-09,9.9
01-01-10,9.8
02-01-10,9.8
03-01-10,9.9
04-01-10,9.9
05-01-10,9.6
06-01-10,9.4
07-01-10,9.4
08-01-10,9.5
09-01-10,9.5
10-01-10,9.4
11-01-10,9.8
12-01-10,9.3
01-01-11,9.1
02-01-11,9.0
03-01-11,9.0
04-01-11,9.1
05-01-11,9.0
06-01-11,9.1
07-01-11,9.0
08-01-11,9.0
09-01-11,9.0
10-01-11,8.8
11-01-11,8.6
12-01-11,8.5
01-01-12,8.3
02-01-12,8.3
03-01-12,8.2
04-01-12,8.2
05-01-12,8.2
06-01-12,8.2
07-01-12,8.2
08-01-12,8.1
09-01-12,7.8
10-01-12,7.8
11-01-12,7.7
12-01-12,7.9
01-01-13,8.0
02-01-13,7.7
03-01-13,7.5
04-01-13,7.6
05-01-13,7.5
06-01-13,7.5
07-01-13,7.3
08-01-13,7.2
09-01-13,7.2
10-01-13,7.2
11-01-13,6.9
12-01-13,6.7
01-01-14,6.6
02-01-14,6.7
03-01-14,6.7
04-01-14,6.2
05-01-14,6.3
06-01-14,6.1
07-01-14,6.2
08-01-14,6.1
09-01-14,5.9
10-01-14,5.7
11-01-14,5.8
12-01-14,5.6
01-01-15,5.7
02-01-15,5.5
03-01-15,5.4
04-01-15,5.4
05-01-15,5.6
06-01-15,5.3
07-01-15,5.2
08-01-15,5.1
09-01-15,5.0
10-01-15,5.0
11-01-15,5.1
12-01-15,5.0
01-01-16,4.8
02-01-16,4.9
03-01-16,5.0
04-01-16,5.1
05-01-16,4.8
06-01-16,4.9
07-01-16,4.8
08-01-16,4.9
09-01-16,5.0
10-01-16,4.9
11-01-16,4.7
12-01-16,4.7
01-01-17,4.7
02-01-17,4.6
03-01-17,4.4
04-01-17,4.4
05-01-17,4.4
06-01-17,4.3
07-01-17,4.3
08-01-17,4.4
09-01-17,4.3
10-01-17,4.2
11-01-17,4.2
12-01-17,4.1
01-01-18,4.0
02-01-18,4.1
03-01-18,4.0
04-01-18,4.0
05-01-18,3.8
06-01-18,4.0
07-01-18,3.8
08-01-18,3.8
09-01-18,3.7
10-01-18,3.8
11-01-18,3.8
12-01-18,3.9
01-01-19,4.0
02-01-19,3.8
03-01-19,3.8
04-01-19,3.7
05-01-19,3.6
06-01-19,3.6
07-01-19,3.7
08-01-19,3.6
09-01-19,3.5
10-01-19,3.6
11-01-19,3.6
12-01-19,3.6
01-01-20,3.6
02-01-20,3.5
03-01-20,4.4
04-01-20,14.8
05-01-20,13.2
06-01-20,11.0
07-01-20,10.2
