observation_date,Brezilya_ISSIZLIK
10-01-00,12.304370
11-01-00,11.763520
12-01-00,10.446810
01-01-01,10.439820
02-01-01,9.965407
03-01-01,10.650770
04-01-01,10.898840
05-01-01,11.669980
06-01-01,11.117480
07-01-01,10.948560
08-01-01,10.840500
09-01-01,11.131980
10-01-01,11.883650
11-01-01,12.102470
12-01-01,12.331330
01-01-02,11.378210
02-01-02,12.278210
03-01-02,12.288530
04-01-02,11.895260
05-01-02,11.503750
06-01-02,11.431090
07-01-02,11.724780
08-01-02,11.599540
09-01-02,11.560130
10-01-02,11.432700
11-01-02,11.469620
12-01-02,12.044620
01-01-03,11.581120
02-01-03,11.420040
03-01-03,11.524020
04-01-03,11.825870
05-01-03,12.462630
06-01-03,12.848210
07-01-03,12.643290
08-01-03,12.931420
09-01-03,13.077070
10-01-03,13.263760
11-01-03,12.818970
12-01-03,12.515850
01-01-04,12.134400
02-01-04,11.854050
03-01-04,12.179980
04-01-04,12.422270
05-01-04,11.833400
06-01-04,11.594180
07-01-04,11.086240
08-01-04,11.264120
09-01-04,10.985500
10-01-04,10.745180
11-01-04,11.204850
12-01-04,11.067680
01-01-05,10.544010
02-01-05,10.470640
03-01-05,10.282590
04-01-05,10.222160
05-01-05,9.827232
06-01-05,9.254727
07-01-05,9.322425
08-01-05,9.329138
09-01-05,9.736018
10-01-05,9.861129
11-01-05,10.109960
12-01-05,9.675368
01-01-06,9.617917
02-01-06,9.895424
03-01-06,9.872680
04-01-06,9.840483
05-01-06,9.820480
06-01-06,10.269500
07-01-06,10.586530
08-01-06,10.478110
09-01-06,10.063910
10-01-06,10.061750
11-01-06,10.071400
12-01-06,9.695142
01-01-07,9.623956
02-01-07,9.673713
03-01-07,9.622403
04-01-07,9.618071
05-01-07,9.770851
06-01-07,9.526117
07-01-07,9.325441
08-01-07,9.446429
09-01-07,9.072807
10-01-07,8.932889
11-01-07,8.723907
12-01-07,8.636428
01-01-08,8.274426
02-01-08,8.516868
03-01-08,8.119047
04-01-08,8.072902
05-01-08,7.601410
06-01-08,7.715947
07-01-08,7.983775
08-01-08,7.524454
09-01-08,7.715191
10-01-08,7.674621
11-01-08,8.028376
12-01-08,7.885071
01-01-09,8.467198
02-01-09,8.287186
03-01-09,8.539585
04-01-09,8.431472
05-01-09,8.472834
06-01-09,7.940168
07-01-09,7.842829
08-01-09,7.999191
09-01-09,7.756629
10-01-09,7.729197
11-01-09,7.801152
12-01-09,7.902646
01-01-10,7.465011
02-01-10,7.191654
03-01-10,7.172642
04-01-10,6.875212
05-01-10,7.143868
06-01-10,6.833828
07-01-10,6.810925
08-01-10,6.660689
09-01-10,6.253394
10-01-10,6.222114
11-01-10,6.094969
12-01-10,6.159383
01-01-11,6.238460
02-01-11,6.214310
03-01-11,6.096147
04-01-11,6.100201
05-01-11,6.082115
06-01-11,6.023153
07-01-11,5.912048
08-01-11,5.911242
09-01-11,6.032932
10-01-11,5.892017
11-01-11,5.551761
12-01-11,5.551572
01-01-12,5.678271
02-01-12,5.608653
03-01-12,5.865548
04-01-12,5.727410
05-01-12,5.549574
06-01-12,5.689653
07-01-12,5.272289
08-01-12,5.242164
09-01-12,5.418124
10-01-12,5.449980
11-01-12,5.237459
12-01-12,5.411323
01-01-13,5.601452
02-01-13,5.436466
03-01-13,5.338785
04-01-13,5.509905
05-01-13,5.553439
06-01-13,5.779708
07-01-13,5.490614
08-01-13,5.210773
09-01-13,5.415362
10-01-13,5.289386
11-01-13,4.950717
12-01-13,5.093781
01-01-14,4.937573
02-01-14,5.003753
03-01-14,4.753304
04-01-14,4.617692
05-01-14,4.680679
06-01-14,4.665461
07-01-14,4.775859
08-01-14,4.937640
09-01-14,4.866515
10-01-14,4.776866
11-01-14,5.176929
12-01-14,5.071084
01-01-15,5.463681
02-01-15,5.715923
03-01-15,5.837950
04-01-15,6.085472
05-01-15,6.410128
06-01-15,6.703869
07-01-15,7.307231
08-01-15,7.436954
09-01-15,7.537654
10-01-15,7.997365
11-01-15,8.006710
