observation_date,LRUNTTTTMXM156S
11-01-00,2.272710
12-01-00,2.561800
01-01-01,2.581363
02-01-01,3.154410
03-01-01,2.676400
04-01-01,2.715206
05-01-01,2.789401
06-01-01,2.745253
07-01-01,2.827205
08-01-01,2.316145
09-01-01,2.515802
10-01-01,2.877352
11-01-01,2.894310
12-01-01,3.101691
01-01-02,3.403130
02-01-02,2.990335
03-01-02,3.034803
04-01-02,3.064139
05-01-02,3.138251
06-01-02,3.048213
07-01-02,2.913656
08-01-02,2.787041
09-01-02,2.896526
10-01-02,2.804321
11-01-02,2.918282
12-01-02,2.736636
01-01-03,2.918024
02-01-03,2.952158
03-01-03,3.131883
04-01-03,3.100215
05-01-03,3.199423
06-01-03,3.277076
07-01-03,3.582555
08-01-03,3.674761
09-01-03,3.825547
10-01-03,3.777958
11-01-03,3.951591
12-01-03,3.406973
01-01-04,3.799583
02-01-04,4.027035
03-01-04,3.926104
04-01-04,3.995207
05-01-04,3.890377
06-01-04,3.969810
07-01-04,3.799521
08-01-04,4.005783
09-01-04,3.848535
10-01-04,3.903794
11-01-04,3.817094
12-01-04,4.034063
01-01-05,3.975158
02-01-05,3.703033
03-01-05,3.591992
04-01-05,3.818534
05-01-05,3.752531
06-01-05,3.944258
07-01-05,3.782412
08-01-05,3.333088
09-01-05,3.426018
10-01-05,3.411103
11-01-05,3.204231
12-01-05,3.195210
01-01-06,3.338046
02-01-06,3.594904
03-01-06,3.456815
04-01-06,3.403484
05-01-06,3.279408
06-01-06,3.595111
07-01-06,3.641483
08-01-06,3.676973
09-01-06,3.721912
10-01-06,3.703098
11-01-06,3.825849
12-01-06,3.878354
01-01-07,3.743093
02-01-07,3.877752
03-01-07,4.088524
04-01-07,3.691625
05-01-07,3.632856
06-01-07,3.511337
07-01-07,3.626812
08-01-07,3.611686
09-01-07,3.622642
10-01-07,3.732736
11-01-07,3.681421
12-01-07,3.762841
01-01-08,3.834737
02-01-08,3.762437
03-01-08,3.959803
04-01-08,3.697944
05-01-08,3.573048
06-01-08,3.801407
07-01-08,3.826238
08-01-08,3.846370
09-01-08,3.959694
10-01-08,3.908651
11-01-08,4.708126
12-01-08,4.778192
01-01-09,4.776784
02-01-09,5.103218
03-01-09,5.064820
04-01-09,5.363848
05-01-09,5.730240
06-01-09,5.478347
07-01-09,5.703154
08-01-09,5.838473
09-01-09,5.966423
10-01-09,5.681849
11-01-09,5.464932
12-01-09,5.298382
