observation_date,POLPROINDMISMEI
01-01-00,46.09072
02-01-00,45.95396
03-01-00,45.40688
04-01-00,48.14224
05-01-00,47.86870
06-01-00,47.86870
07-01-00,48.68931
08-01-00,47.73193
09-01-00,48.14224
10-01-00,48.41578
11-01-00,47.59517
12-01-00,50.19376
01-01-01,48.27901
02-01-01,48.55254
03-01-01,48.68931
04-01-01,48.14224
05-01-01,47.86870
06-01-01,47.73193
07-01-01,47.59517
08-01-01,48.14224
09-01-01,48.41578
10-01-01,47.32163
11-01-01,46.63779
12-01-01,48.55254
01-01-02,48.14224
02-01-02,48.55254
03-01-02,48.68931
04-01-02,46.63779
05-01-02,48.14224
06-01-02,48.82608
07-01-02,48.14224
08-01-02,49.50991
09-01-02,49.64668
10-01-02,48.55254
11-01-02,51.56143
12-01-02,49.92022
01-01-03,49.50991
02-01-03,50.33052
03-01-03,51.15113
04-01-03,50.33052
05-01-03,51.42466
06-01-03,52.65557
07-01-03,53.33941
08-01-03,55.11739
09-01-03,53.47618
10-01-03,54.70709
11-01-03,55.93800
12-01-03,56.21153
01-01-04,58.12628
02-01-04,58.12628
03-01-04,58.94689
04-01-04,60.86164
05-01-04,59.76749
06-01-04,58.67335
07-01-04,58.81012
08-01-04,58.67335
09-01-04,59.08366
10-01-04,60.31457
11-01-04,60.04103
12-01-04,56.48507
01-01-05,60.72487
02-01-05,60.45133
03-01-05,58.81012
04-01-05,60.17780
05-01-05,60.45133
06-01-05,60.72487
07-01-05,62.22931
08-01-05,62.22931
09-01-05,62.63962
10-01-05,64.69113
11-01-05,65.78528
12-01-05,66.60588
01-01-06,64.82790
02-01-06,66.33234
03-01-06,66.60588
04-01-06,68.52063
05-01-06,69.47800
06-01-06,70.16184
07-01-06,71.11922
08-01-06,70.57214
09-01-06,71.93982
10-01-06,71.93982
11-01-06,71.66629
12-01-06,75.22224
01-01-07,73.85457
02-01-07,73.85457
03-01-07,75.76932
04-01-07,74.67518
05-01-07,75.35902
06-01-07,76.17962
07-01-07,76.58993
08-01-07,76.86346
09-01-07,77.68407
10-01-07,78.23114
11-01-07,78.50467
12-01-07,80.28265
01-01-08,81.65033
02-01-08,81.37679
03-01-08,79.87235
04-01-08,80.96649
05-01-08,78.23114
06-01-08,78.36790
07-01-08,77.82083
08-01-08,77.54730
09-01-08,77.13699
10-01-08,76.04285
11-01-08,73.71780
12-01-08,73.30750
01-01-09,72.07659
02-01-09,73.03397
03-01-09,73.99134
04-01-09,73.30750
05-01-09,73.99134
06-01-09,74.26487
07-01-09,74.40164
08-01-09,75.63255
09-01-09,75.63255
10-01-09,76.72669
11-01-09,78.09437
12-01-09,77.13699
01-01-10,80.14589
02-01-10,79.73558
03-01-10,81.65033
04-01-10,80.69296
05-01-10,83.42831
06-01-10,85.06953
07-01-10,84.52245
08-01-10,83.56508
09-01-10,84.79599
10-01-10,85.20629
11-01-10,85.47983
12-01-10,83.70184
01-01-11,86.16367
02-01-11,88.07841
03-01-11,87.39458
04-01-11,88.35195
05-01-11,87.80488
06-01-11,87.39458
07-01-11,88.07841
08-01-11,89.99316
09-01-11,90.81377
10-01-11,90.40347
11-01-11,91.90791
12-01-11,93.95943
01-01-12,91.08730
02-01-12,89.30933
03-01-12,90.54023
04-01-12,90.54023
05-01-12,91.63438
06-01-12,90.54023
07-01-12,90.40347
08-01-12,90.26670
09-01-12,90.26670
10-01-12,90.40347
11-01-12,89.17255
12-01-12,89.71963
01-01-13,89.44609
02-01-13,90.54023
03-01-13,89.85639
04-01-13,90.95054
05-01-13,92.18144
06-01-13,93.00205
07-01-13,93.82265
08-01-13,94.64326
09-01-13,93.95943
10-01-13,94.64326
11-01-13,95.87418
12-01-13,93.13882
01-01-14,94.91680
02-01-14,94.64326
03-01-14,94.36973
04-01-14,95.87418
05-01-14,94.50650
06-01-14,94.78003
07-01-14,96.42124
08-01-14,95.60064
09-01-14,96.28448
10-01-14,96.55801
11-01-14,96.14771
12-01-14,97.92569
01-01-15,98.47276
02-01-15,98.88306
