TUFE,CPIAUCSL
01-01-00,169.300
02-01-00,170.000
03-01-00,171.000
04-01-00,170.900
05-01-00,171.200
06-01-00,172.200
07-01-00,172.700
08-01-00,172.700
09-01-00,173.600
10-01-00,173.900
11-01-00,174.200
12-01-00,174.600
01-01-01,175.600
02-01-01,176.000
03-01-01,176.100
04-01-01,176.400
05-01-01,177.300
06-01-01,177.700
07-01-01,177.400
08-01-01,177.400
09-01-01,178.100
10-01-01,177.600
11-01-01,177.500
12-01-01,177.400
01-01-02,177.700
02-01-02,178.000
03-01-02,178.500
04-01-02,179.300
05-01-02,179.500
06-01-02,179.600
07-01-02,180.000
08-01-02,180.500
09-01-02,180.800
10-01-02,181.200
11-01-02,181.500
12-01-02,181.800
01-01-03,182.600
02-01-03,183.600
03-01-03,183.900
04-01-03,183.200
05-01-03,182.900
06-01-03,183.100
07-01-03,183.700
08-01-03,184.500
09-01-03,185.100
10-01-03,184.900
11-01-03,185.000
12-01-03,185.500
01-01-04,186.300
02-01-04,186.700
03-01-04,187.100
04-01-04,187.400
05-01-04,188.200
06-01-04,188.900
07-01-04,189.100
08-01-04,189.200
09-01-04,189.800
10-01-04,190.800
11-01-04,191.700
12-01-04,191.700
01-01-05,191.600
02-01-05,192.400
03-01-05,193.100
04-01-05,193.700
05-01-05,193.600
06-01-05,193.700
07-01-05,194.900
08-01-05,196.100
09-01-05,198.800
10-01-05,199.100
11-01-05,198.100
12-01-05,198.100
01-01-06,199.300
02-01-06,199.400
03-01-06,199.700
04-01-06,200.700
05-01-06,201.300
06-01-06,201.800
07-01-06,202.900
08-01-06,203.800
09-01-06,202.800
10-01-06,201.900
11-01-06,202.000
12-01-06,203.100
01-01-07,203.437
02-01-07,204.226
03-01-07,205.288
04-01-07,205.904
05-01-07,206.755
06-01-07,207.234
07-01-07,207.603
08-01-07,207.667
09-01-07,208.547
10-01-07,209.190
11-01-07,210.834
12-01-07,211.445
01-01-08,212.174
02-01-08,212.687
03-01-08,213.448
04-01-08,213.942
05-01-08,215.208
06-01-08,217.463
07-01-08,219.016
08-01-08,218.690
09-01-08,218.877
10-01-08,216.995
11-01-08,213.153
12-01-08,211.398
01-01-09,211.933
02-01-09,212.705
03-01-09,212.495
04-01-09,212.709
05-01-09,213.022
06-01-09,214.790
07-01-09,214.726
08-01-09,215.445
09-01-09,215.861
10-01-09,216.509
11-01-09,217.234
12-01-09,217.347
01-01-10,217.488
02-01-10,217.281
03-01-10,217.353
04-01-10,217.403
05-01-10,217.290
06-01-10,217.199
07-01-10,217.605
08-01-10,217.923
09-01-10,218.275
10-01-10,219.035
11-01-10,219.590
12-01-10,220.472
01-01-11,221.187
02-01-11,221.898
03-01-11,223.046
04-01-11,224.093
05-01-11,224.806
06-01-11,224.806
07-01-11,225.395
08-01-11,226.106
09-01-11,226.597
10-01-11,226.750
11-01-11,227.169
12-01-11,227.223
01-01-12,227.842
02-01-12,228.329
03-01-12,228.807
04-01-12,229.187
05-01-12,228.713
06-01-12,228.524
07-01-12,228.590
08-01-12,229.918
09-01-12,231.015
10-01-12,231.638
11-01-12,231.249
12-01-12,231.221
01-01-13,231.679
02-01-13,232.937
03-01-13,232.282
04-01-13,231.797
05-01-13,231.893
06-01-13,232.445
07-01-13,232.900
08-01-13,233.456
09-01-13,233.544
10-01-13,233.669
11-01-13,234.100
12-01-13,234.719
01-01-14,235.288
02-01-14,235.547
03-01-14,236.028
04-01-14,236.468
05-01-14,236.918
06-01-14,237.231
07-01-14,237.498
08-01-14,237.460
09-01-14,237.477
10-01-14,237.430
11-01-14,236.983
12-01-14,236.252
01-01-15,234.747
02-01-15,235.342
03-01-15,235.976
04-01-15,236.222
05-01-15,237.001
06-01-15,237.657
07-01-15,238.034
08-01-15,238.033
09-01-15,237.498
10-01-15,237.733
11-01-15,238.017
12-01-15,237.761
01-01-16,237.652
02-01-16,237.336
03-01-16,238.080
04-01-16,238.992
05-01-16,239.557
06-01-16,240.222
07-01-16,240.101
08-01-16,240.545
09-01-16,241.176
10-01-16,241.741
11-01-16,242.026
12-01-16,242.637
01-01-17,243.618
02-01-17,244.006
03-01-17,243.892
04-01-17,244.193
05-01-17,244.004
06-01-17,244.163
07-01-17,244.243
08-01-17,245.183
09-01-17,246.435
10-01-17,246.626
11-01-17,247.284
12-01-17,247.805
01-01-18,248.859
02-01-18,249.529
03-01-18,249.577
04-01-18,250.227
05-01-18,250.792
06-01-18,251.018
07-01-18,251.214
08-01-18,251.663
09-01-18,252.182
10-01-18,252.772
11-01-18,252.594
12-01-18,252.767
01-01-19,252.561
02-01-19,253.319
03-01-19,254.277
04-01-19,255.233
05-01-19,255.296
06-01-19,255.213
07-01-19,255.802
08-01-19,256.036
09-01-19,256.430
10-01-19,257.155
11-01-19,257.879
12-01-19,258.630
01-01-20,259.127
02-01-20,259.250
03-01-20,258.076
04-01-20,256.032
05-01-20,255.802
06-01-20,257.042
07-01-20,258.352
08-01-20,259.316
09-01-20,259.997
10-01-20,260.319
11-01-20,260.911
12-01-20,262.045
01-01-21,262.687
02-01-21,263.579
03-01-21,264.961
