observation_date,Almanya_ISSIZLIK
01-01-00,8.2
02-01-00,8.1
03-01-00,8.1
04-01-00,8.0
05-01-00,8.0
06-01-00,8.0
07-01-00,7.9
08-01-00,7.9
09-01-00,7.9
10-01-00,7.8
11-01-00,7.8
12-01-00,7.7
01-01-01,7.7
02-01-01,7.7
03-01-01,7.6
04-01-01,7.6
05-01-01,7.7
06-01-01,7.7
07-01-01,7.8
08-01-01,7.8
09-01-01,7.9
10-01-01,8.0
11-01-01,8.0
12-01-01,8.1
01-01-02,8.1
02-01-02,8.2
03-01-02,8.2
04-01-02,8.3
05-01-02,8.4
06-01-02,8.5
07-01-02,8.6
08-01-02,8.7
09-01-02,8.9
10-01-02,9.0
11-01-02,9.1
12-01-02,9.2
01-01-03,9.4
02-01-03,9.5
03-01-03,9.6
04-01-03,9.7
05-01-03,9.7
06-01-03,9.8
07-01-03,9.8
08-01-03,9.8
09-01-03,9.8
10-01-03,9.8
11-01-03,9.8
12-01-03,9.8
01-01-04,9.8
02-01-04,10.1
03-01-04,10.3
04-01-04,10.3
05-01-04,10.3
06-01-04,10.3
07-01-04,10.3
08-01-04,10.4
09-01-04,10.4
10-01-04,10.5
11-01-04,10.6
12-01-04,10.7
01-01-05,10.7
02-01-05,10.9
03-01-05,10.9
04-01-05,11.2
05-01-05,11.2
06-01-05,11.2
07-01-05,11.2
08-01-05,11.2
09-01-05,11.1
10-01-05,11.0
11-01-05,10.9
12-01-05,10.7
01-01-06,10.6
02-01-06,10.5
03-01-06,10.5
04-01-06,10.3
05-01-06,10.2
06-01-06,10.1
07-01-06,10.0
08-01-06,9.9
09-01-06,9.8
10-01-06,9.7
11-01-06,9.6
12-01-06,9.4
01-01-07,9.2
02-01-07,9.1
03-01-07,8.9
04-01-07,8.7
05-01-07,8.6
06-01-07,8.5
07-01-07,8.5
08-01-07,8.4
09-01-07,8.4
10-01-07,8.3
11-01-07,8.2
12-01-07,8.1
01-01-08,8.0
02-01-08,7.9
03-01-08,7.8
04-01-08,7.7
05-01-08,7.5
06-01-08,7.4
07-01-08,7.3
08-01-08,7.1
09-01-08,7.0
10-01-08,7.0
11-01-08,7.0
12-01-08,7.1
01-01-09,7.1
02-01-09,7.2
03-01-09,7.3
04-01-09,7.4
05-01-09,7.5
06-01-09,7.5
07-01-09,7.6
08-01-09,7.5
09-01-09,7.5
10-01-09,7.4
11-01-09,7.2
12-01-09,7.2
01-01-10,7.1
02-01-10,7.0
03-01-10,6.9
04-01-10,6.8
05-01-10,6.7
06-01-10,6.6
07-01-10,6.5
08-01-10,6.4
09-01-10,6.4
10-01-10,6.3
11-01-10,6.2
12-01-10,6.1
01-01-11,6.0
02-01-11,5.9
03-01-11,5.7
04-01-11,5.6
05-01-11,5.6
06-01-11,5.5
07-01-11,5.5
08-01-11,5.4
09-01-11,5.4
10-01-11,5.3
11-01-11,5.2
12-01-11,5.2
01-01-12,5.1
02-01-12,5.1
03-01-12,5.1
04-01-12,5.1
05-01-12,5.1
06-01-12,5.1
07-01-12,5.1
08-01-12,5.0
09-01-12,5.0
10-01-12,5.0
11-01-12,5.0
12-01-12,5.0
01-01-13,5.1
02-01-13,5.1
03-01-13,5.0
04-01-13,5.0
05-01-13,5.0
06-01-13,4.9
07-01-13,4.9
08-01-13,4.9
09-01-13,4.9
10-01-13,4.8
11-01-13,4.8
12-01-13,4.8
01-01-14,4.8
02-01-14,4.8
03-01-14,4.8
04-01-14,4.8
05-01-14,4.7
06-01-14,4.7
07-01-14,4.7
08-01-14,4.7
09-01-14,4.7
10-01-14,4.7
11-01-14,4.6
12-01-14,4.6
01-01-15,4.5
02-01-15,4.5
03-01-15,4.5
04-01-15,4.4
05-01-15,4.4
06-01-15,4.4
07-01-15,4.3
08-01-15,4.3
09-01-15,4.3
10-01-15,4.2
11-01-15,4.2
12-01-15,4.2
01-01-16,4.1
02-01-16,4.1
03-01-16,4.0
04-01-16,4.0
05-01-16,4.0
06-01-16,4.0
07-01-16,3.9
08-01-16,3.9
09-01-16,3.8
10-01-16,3.7
11-01-16,3.7
12-01-16,3.7
01-01-17,3.7
02-01-17,3.6
03-01-17,3.6
04-01-17,3.6
05-01-17,3.6
06-01-17,3.5
07-01-17,3.5
08-01-17,3.5
09-01-17,3.4
10-01-17,3.4
11-01-17,3.4
12-01-17,3.4
01-01-18,3.3
02-01-18,3.3
03-01-18,3.3
04-01-18,3.2
05-01-18,3.2
06-01-18,3.2
07-01-18,3.2
08-01-18,3.2
09-01-18,3.1
10-01-18,3.1
11-01-18,3.1
12-01-18,3.1
01-01-19,3.0
02-01-19,3.0
03-01-19,3.0
04-01-19,2.9
05-01-19,2.9
06-01-19,2.9
07-01-19,2.9
08-01-19,2.9
09-01-19,2.9
10-01-19,2.9
11-01-19,3.0
12-01-19,3.1
01-01-20,3.2
02-01-20,3.3
03-01-20,3.4
04-01-20,3.5
05-01-20,3.7
06-01-20,3.8
07-01-20,3.8
08-01-20,3.9
09-01-20,3.8
10-01-20,3.8
11-01-20,3.8
12-01-20,3.8
