observation_date,GüneyKore_SURETIM
01-01-00,47.64377
02-01-00,47.74273
03-01-00,48.28430
04-01-00,48.00553
05-01-00,49.85263
06-01-00,49.33340
07-01-00,50.92515
08-01-00,51.71251
09-01-00,50.48146
10-01-00,50.12821
11-01-00,49.35681
12-01-00,48.63861
01-01-01,48.13960
02-01-01,48.64925
03-01-01,48.94292
04-01-01,49.31425
05-01-01,49.73028
06-01-01,49.83136
07-01-01,48.84184
08-01-01,49.97925
09-01-01,49.98883
10-01-01,50.29313
11-01-01,50.61978
12-01-01,49.35468
01-01-02,50.89748
02-01-02,51.87743
03-01-02,53.17764
04-01-02,53.63409
05-01-02,53.04676
06-01-02,52.64989
07-01-02,53.96287
08-01-02,54.46507
09-01-02,53.49683
10-01-02,54.44486
11-01-02,55.23009
12-01-02,55.84615
01-01-03,54.53849
02-01-03,54.80555
03-01-03,55.96106
04-01-03,54.98856
05-01-03,54.75448
06-01-03,56.43347
07-01-03,53.80433
08-01-03,56.65372
09-01-03,57.37086
10-01-03,58.96579
11-01-03,59.04346
12-01-03,60.10853
01-01-04,59.86913
02-01-04,62.91749
03-01-04,61.82263
04-01-04,62.49082
05-01-04,63.40267
06-01-04,61.60345
07-01-04,60.82566
08-01-04,61.79177
09-01-04,62.49401
10-01-04,62.50040
11-01-04,63.57397
12-01-04,62.71214
01-01-05,65.37213
02-01-05,63.87189
03-01-05,65.92648
04-01-05,64.60286
05-01-05,64.10065
06-01-05,64.49753
07-01-05,65.04336
08-01-05,65.40831
09-01-05,65.59557
10-01-05,67.86615
11-01-05,70.41017
12-01-05,68.96207
01-01-06,71.12411
02-01-06,71.25179
03-01-06,71.63909
04-01-06,70.90493
05-01-06,71.55823
06-01-06,70.46444
07-01-06,67.02453
08-01-06,71.90935
09-01-06,73.80220
10-01-06,75.86530
11-01-06,75.52482
12-01-06,72.88929
01-01-07,74.03309
02-01-07,74.37357
03-01-07,74.14587
04-01-07,75.38118
05-01-07,75.58334
06-01-07,75.07049
07-01-07,75.92807
08-01-07,78.27951
09-01-07,77.52088
10-01-07,81.74815
11-01-07,81.51194
12-01-07,81.11401
01-01-08,83.15901
02-01-08,82.34080
03-01-08,83.49737
04-01-08,83.73038
05-01-08,82.44720
06-01-08,81.74283
07-01-08,81.29063
08-01-08,81.23318
09-01-08,80.05959
10-01-08,80.74586
11-01-08,71.84550
12-01-08,64.11023
01-01-09,65.30297
