observation_date,Japonya_ISSIZLIK
01-01-00,4.7
02-01-00,4.9
03-01-00,4.9
04-01-00,4.8
05-01-00,4.6
06-01-00,4.7
07-01-00,4.7
08-01-00,4.6
09-01-00,4.7
10-01-00,4.7
11-01-00,4.7
12-01-00,4.8
01-01-01,4.8
02-01-01,4.7
03-01-01,4.8
04-01-01,4.8
05-01-01,4.9
06-01-01,5.0
07-01-01,5.0
08-01-01,5.1
09-01-01,5.3
10-01-01,5.3
11-01-01,5.4
12-01-01,5.4
01-01-02,5.2
02-01-02,5.3
03-01-02,5.3
04-01-02,5.3
05-01-02,5.4
06-01-02,5.5
07-01-02,5.4
08-01-02,5.5
09-01-02,5.4
10-01-02,5.4
11-01-02,5.2
12-01-02,5.4
01-01-03,5.4
02-01-03,5.2
03-01-03,5.4
04-01-03,5.5
05-01-03,5.4
06-01-03,5.4
07-01-03,5.2
08-01-03,5.1
09-01-03,5.2
10-01-03,5.1
11-01-03,5.1
12-01-03,4.9
01-01-04,4.9
02-01-04,5.0
03-01-04,4.8
04-01-04,4.8
05-01-04,4.7
06-01-04,4.7
07-01-04,4.9
08-01-04,4.8
09-01-04,4.6
10-01-04,4.6
11-01-04,4.5
12-01-04,4.5
01-01-05,4.5
02-01-05,4.6
03-01-05,4.5
04-01-05,4.5
05-01-05,4.5
06-01-05,4.3
07-01-05,4.4
08-01-05,4.3
09-01-05,4.2
10-01-05,4.4
11-01-05,4.5
12-01-05,4.4
01-01-06,4.4
02-01-06,4.1
03-01-06,4.1
04-01-06,4.1
05-01-06,4.1
06-01-06,4.2
07-01-06,4.1
08-01-06,4.1
09-01-06,4.1
10-01-06,4.1
11-01-06,4.0
12-01-06,4.0
01-01-07,4.0
02-01-07,4.0
03-01-07,4.0
04-01-07,3.8
05-01-07,3.8
06-01-07,3.7
07-01-07,3.6
08-01-07,3.7
09-01-07,3.9
10-01-07,4.0
11-01-07,3.8
12-01-07,3.7
01-01-08,3.9
02-01-08,4.0
03-01-08,3.8
04-01-08,3.9
05-01-08,4.0
06-01-08,4.0
07-01-08,3.9
08-01-08,4.1
09-01-08,4.0
10-01-08,3.8
11-01-08,4.0
12-01-08,4.4
01-01-09,4.3
02-01-09,4.6
03-01-09,4.8
04-01-09,5.0
05-01-09,5.1
06-01-09,5.2
07-01-09,5.5
08-01-09,5.4
09-01-09,5.4
10-01-09,5.2
11-01-09,5.2
12-01-09,5.2
01-01-10,5.0
02-01-10,5.0
03-01-10,5.1
04-01-10,5.1
05-01-10,5.1
06-01-10,5.2
07-01-10,5.0
08-01-10,5.1
09-01-10,5.1
10-01-10,5.1
11-01-10,5.0
12-01-10,4.9
01-01-11,4.8
02-01-11,4.7
03-01-11,4.7
04-01-11,4.7
05-01-11,4.6
06-01-11,4.7
07-01-11,4.7
08-01-11,4.5
09-01-11,4.2
10-01-11,4.4
11-01-11,4.5
12-01-11,4.5
01-01-12,4.5
02-01-12,4.5
03-01-12,4.5
04-01-12,4.5
05-01-12,4.4
06-01-12,4.3
07-01-12,4.3
08-01-12,4.2
09-01-12,4.2
10-01-12,4.1
11-01-12,4.1
12-01-12,4.3
01-01-13,4.2
02-01-13,4.3
03-01-13,4.1
04-01-13,4.1
05-01-13,4.1
06-01-13,3.9
07-01-13,3.8
08-01-13,4.1
09-01-13,3.9
10-01-13,4.0
11-01-13,3.9
12-01-13,3.7
01-01-14,3.7
02-01-14,3.6
03-01-14,3.7
04-01-14,3.6
05-01-14,3.6
06-01-14,3.7
07-01-14,3.7
08-01-14,3.5
09-01-14,3.5
10-01-14,3.6
11-01-14,3.4
12-01-14,3.4
01-01-15,3.6
02-01-15,3.5
03-01-15,3.4
04-01-15,3.4
05-01-15,3.3
06-01-15,3.4
07-01-15,3.3
08-01-15,3.4
09-01-15,3.4
10-01-15,3.2
11-01-15,3.3
12-01-15,3.3
01-01-16,3.2
02-01-16,3.3
03-01-16,3.2
04-01-16,3.2
05-01-16,3.2
06-01-16,3.1
07-01-16,3.0
08-01-16,3.1
09-01-16,3.0
10-01-16,3.0
11-01-16,3.0
12-01-16,3.0
01-01-17,3.0
02-01-17,2.9
03-01-17,2.8
04-01-17,2.8
05-01-17,3.0
06-01-17,2.8
07-01-17,2.8
08-01-17,2.8
09-01-17,2.8
10-01-17,2.7
11-01-17,2.7
12-01-17,2.7
01-01-18,2.4
02-01-18,2.5
03-01-18,2.5
04-01-18,2.5
05-01-18,2.2
06-01-18,2.4
07-01-18,2.5
08-01-18,2.5
09-01-18,2.3
10-01-18,2.4
11-01-18,2.5
12-01-18,2.5
01-01-19,2.5
02-01-19,2.4
03-01-19,2.5
04-01-19,2.4
05-01-19,2.3
06-01-19,2.3
07-01-19,2.3
08-01-19,2.3
09-01-19,2.4
10-01-19,2.4
11-01-19,2.3
12-01-19,2.2
01-01-20,2.4
02-01-20,2.4
03-01-20,2.5
04-01-20,2.6
05-01-20,2.8
06-01-20,2.8
07-01-20,2.9
08-01-20,3.0
09-01-20,3.0
10-01-20,3.1
11-01-20,3.0
12-01-20,3.1
01-01-21,3.0
02-01-21,2.9
03-01-21,2.7
04-01-21,2.9
05-01-21,2.9
06-01-21,2.9
07-01-21,2.8
08-01-21,2.8
09-01-21,2.7
10-01-21,2.7
11-01-21,2.8
12-01-21,2.7
01-01-22,2.8
02-01-22,2.7
03-01-22,2.6
04-01-22,2.6
05-01-22,2.6
06-01-22,2.6
07-01-22,2.5
08-01-22,2.5
09-01-22,2.6
10-01-22,2.6
11-01-22,2.5
12-01-22,2.5
01-01-23,2.5
02-01-23,2.6
03-01-23,2.7
04-01-23,2.6
05-01-23,2.5
06-01-23,2.5
07-01-23,2.6
08-01-23,2.6
09-01-23,2.6
10-01-23,2.6
11-01-23,2.6
12-01-23,2.5
01-01-24,2.5
02-01-24,2.6
03-01-24,2.6
04-01-24,2.6
05-01-24,2.6
06-01-24,2.5
07-01-24,2.6
08-01-24,2.5
09-01-24,2.4
10-01-24,2.5
11-01-24,2.5
12-01-24,2.5
