observation_date,Japonya_SURETİM
01-01-00,103.003700
02-01-00,102.897400
03-01-00,104.385600
04-01-00,105.980100
05-01-00,105.342300
06-01-00,106.724200
07-01-00,106.511600
08-01-00,107.999700
09-01-00,105.767500
10-01-00,107.362000
11-01-00,107.787100
12-01-00,108.850100
01-01-01,104.810800
02-01-01,105.767500
03-01-01,103.960400
04-01-01,103.216300
05-01-01,101.196600
06-01-01,100.133600
07-01-01,98.751740
08-01-01,97.369850
09-01-01,95.562770
10-01-01,95.562770
11-01-01,94.074580
12-01-01,95.031270
01-01-02,94.499780
02-01-02,95.669070
03-01-02,96.094260
04-01-02,95.987960
05-01-02,99.814730
06-01-02,98.645440
07-01-02,99.389530
08-01-02,99.814730
09-01-02,100.452500
10-01-02,100.452500
11-01-02,100.346200
12-01-02,100.239900
01-01-03,101.621800
02-01-03,101.187100
03-01-03,101.947900
04-01-03,100.534900
05-01-03,101.839200
06-01-03,100.969700
07-01-03,101.404400
08-01-03,100.426300
09-01-03,103.469500
10-01-03,104.665000
11-01-03,104.882400
12-01-03,104.556300
01-01-04,106.404000
02-01-04,106.077900
03-01-04,105.534500
04-01-04,107.382200
05-01-04,107.490900
06-01-04,107.816900
07-01-04,109.338500
08-01-04,107.816900
09-01-04,108.143000
10-01-04,106.077900
11-01-04,107.382200
12-01-04,105.969300
01-01-05,108.469100
02-01-05,108.469100
03-01-05,108.795100
04-01-05,109.229900
05-01-05,108.360400
06-01-05,108.795100
07-01-05,108.143000
08-01-05,108.143000
09-01-05,109.012500
10-01-05,108.034300
11-01-05,110.208000
12-01-05,110.642800
01-01-06,110.968800
02-01-06,110.751500
03-01-06,111.512300
04-01-06,113.577300
05-01-06,111.838300
06-01-06,113.359900
07-01-06,113.794700
08-01-06,114.120800
09-01-06,114.012100
10-01-06,114.446800
11-01-06,115.533700
12-01-06,115.642400
01-01-07,114.446800
02-01-07,115.098900
03-01-07,115.098900
04-01-07,114.772900
05-01-07,116.077100
06-01-07,116.077100
07-01-07,116.185800
08-01-07,119.120300
09-01-07,117.381300
10-01-07,118.903000
11-01-07,117.707400
12-01-07,118.359500
01-01-08,119.163500
02-01-08,119.471400
03-01-08,118.239800
04-01-08,117.726600
05-01-08,118.342400
06-01-08,115.160600
07-01-08,115.160600
08-01-08,110.952400
09-01-08,112.389400
10-01-08,109.926000
11-01-08,102.844000
12-01-08,94.530230
01-01-09,86.934960
02-01-09,79.647610
03-01-09,80.366090
04-01-09,83.855800
05-01-09,86.934960
06-01-09,88.371900
07-01-09,89.398290
08-01-09,90.732590
09-01-09,93.503840
10-01-09,96.069800
11-01-09,98.019940
12-01-09,98.841050
01-01-10,101.099100
02-01-10,101.407000
03-01-10,101.714900
04-01-10,102.946600
05-01-10,102.536000
06-01-10,101.920200
07-01-10,103.151900
08-01-10,103.665100
09-01-10,104.999400
10-01-10,102.022900
11-01-10,103.767700
12-01-10,104.075600
01-01-11,104.794100
02-01-11,105.204600
03-01-11,88.577180
04-01-11,90.219400
05-01-11,96.172440
06-01-11,100.072700
07-01-11,100.996500
08-01-11,102.536000
09-01-11,101.920200
10-01-11,103.562400
11-01-11,101.509700
12-01-11,103.562400
01-01-12,103.870300
02-01-12,103.665100
03-01-12,103.459800
04-01-12,102.946600
05-01-12,101.099100
06-01-12,100.380600
07-01-12,99.867440
08-01-12,98.635770
09-01-12,96.480360
10-01-12,96.788280
11-01-12,96.069800
12-01-12,97.404110
01-01-13,95.390620
02-01-13,96.990460
03-01-13,97.890370
04-01-13,98.090350
05-01-13,99.590200
06-01-13,98.590300
07-01-13,100.090100
08-01-13,100.390100
09-01-13,101.190000
10-01-13,101.490000
11-01-13,101.890000
12-01-13,101.890000
01-01-14,103.589800
02-01-14,102.889900
03-01-14,104.289700
04-01-14,99.790180
05-01-14,101.890000
06-01-14,100.590100
07-01-14,100.390100
08-01-14,99.490210
09-01-14,100.590100
10-01-14,100.590100
11-01-14,100.590100
12-01-14,100.190100
01-01-15,102.689900
02-01-15,99.790180
03-01-15,99.290230
04-01-15,99.690190
05-01-15,99.690190
06-01-15,100.490100
07-01-15,100.390100
08-01-15,98.790280
09-01-15,100.490100
10-01-15,100.590100
11-01-15,99.990160
12-01-15,98.090350
01-01-16,100.290100
02-01-16,99.490210
03-01-16,99.890170
04-01-16,99.190240
05-01-16,98.690290
06-01-16,99.190240
07-01-16,99.690190
08-01-16,100.590100
09-01-16,100.990100
10-01-16,101.090000
11-01-16,102.090000
12-01-16,101.490000
01-01-17,100.690100
02-01-17,101.390000
03-01-17,101.490000
04-01-17,103.789800
05-01-17,102.189900
06-01-17,102.989900
07-01-17,102.489900
08-01-17,103.789800
09-01-17,102.589900
10-01-17,103.189800
11-01-17,103.989800
12-01-17,105.489600
01-01-18,102.154600
02-01-18,104.159400
03-01-18,105.161800
04-01-18,103.886100
05-01-18,104.159400
06-01-18,103.703800
07-01-18,103.521500
08-01-18,103.886100
09-01-18,102.154600
10-01-18,105.890900
11-01-18,104.341700
12-01-18,104.432800
01-01-19,101.972400
02-01-19,103.521500
03-01-19,102.701400
04-01-19,102.519100
05-01-19,103.612700
06-01-19,102.336900
07-01-19,102.245800
08-01-19,101.243300
09-01-19,102.428000
10-01-19,98.782880
11-01-19,98.053860
12-01-19,98.418370
01-01-20,98.509500
02-01-20,96.049030
03-01-20,96.140170
04-01-20,87.118480
05-01-20,79.737110
06-01-20,81.924180
07-01-20,86.571720
08-01-20,89.123300
09-01-20,91.036990
10-01-20,95.228880
11-01-20,94.499860
12-01-20,94.408730
