observation_date,MEXPROMANMISMEI
01-01-00,84.69164
02-01-00,85.45238
03-01-00,86.82468
04-01-00,85.63455
05-01-00,86.35455
06-01-00,87.77111
07-01-00,92.43966
08-01-00,87.48386
09-01-00,87.08548
10-01-00,87.80885
11-01-00,86.42035
12-01-00,84.31992
01-01-01,89.20216
02-01-01,87.20780
03-01-01,85.53204
04-01-01,85.86288
05-01-01,86.26973
06-01-01,85.12811
07-01-01,84.93723
08-01-01,84.15714
09-01-01,84.75372
10-01-01,82.97089
11-01-01,82.88380
12-01-01,81.92326
01-01-02,82.72325
02-01-02,80.08480
03-01-02,82.31965
04-01-02,82.97920
05-01-02,81.38982
06-01-02,82.10410
07-01-02,82.47185
08-01-02,83.04027
09-01-02,82.72749
10-01-02,83.40052
11-01-02,84.39218
12-01-02,82.23526
01-01-03,80.57950
02-01-03,82.15458
03-01-03,81.78739
04-01-03,82.27567
05-01-03,82.46295
06-01-03,83.15847
07-01-03,82.54644
08-01-03,82.21012
09-01-03,82.35356
10-01-03,82.62759
11-01-03,82.04588
12-01-03,83.60622
01-01-04,82.34283
02-01-04,82.70078
03-01-04,84.50581
04-01-04,84.38471
05-01-04,84.06609
06-01-04,84.67513
07-01-04,84.81231
08-01-04,85.06562
09-01-04,84.36333
10-01-04,84.36607
11-01-04,84.40441
12-01-04,85.58053
01-01-05,85.01297
02-01-05,85.90223
03-01-05,85.11373
04-01-05,85.35499
05-01-05,85.91243
06-01-05,84.30271
07-01-05,84.74681
08-01-05,85.98138
09-01-05,87.47179
10-01-05,88.22649
11-01-05,88.79757
12-01-05,89.73061
01-01-06,90.48768
02-01-06,89.68999
03-01-06,89.95139
04-01-06,90.06562
05-01-06,91.69723
06-01-06,91.85209
07-01-06,91.94903
08-01-06,90.76179
09-01-06,90.64559
10-01-06,90.91489
11-01-06,91.52512
12-01-06,90.53698
01-01-07,90.47633
02-01-07,90.50065
03-01-07,91.97207
04-01-07,91.89217
05-01-07,92.32752
06-01-07,92.08309
07-01-07,91.70690
08-01-07,91.79917
09-01-07,90.58705
10-01-07,90.53868
11-01-07,89.48862
12-01-07,88.79144
01-01-08,90.40598
02-01-08,91.25668
03-01-08,90.33231
04-01-08,90.86146
05-01-08,89.91961
06-01-08,90.97008
07-01-08,88.87444
08-01-08,89.35197
09-01-08,89.53130
10-01-08,88.85929
11-01-08,87.03400
12-01-08,84.87038
01-01-09,78.65884
02-01-09,78.60515
03-01-09,77.63121
04-01-09,78.20059
05-01-09,76.41164
06-01-09,76.92935
07-01-09,79.87064
08-01-09,80.02671
09-01-09,81.59962
10-01-09,83.19714
11-01-09,86.36981
12-01-09,85.74207
01-01-10,82.76318
02-01-10,84.45656
03-01-10,85.62910
04-01-10,86.11966
05-01-10,86.74275
06-01-10,86.85697
07-01-10,86.32268
08-01-10,87.73997
09-01-10,86.72428
10-01-10,86.33049
11-01-10,87.54452
12-01-10,87.69453
01-01-11,87.27361
02-01-11,87.91634
03-01-11,88.66895
04-01-11,87.53425
05-01-11,88.74889
06-01-11,88.59562
07-01-11,89.20556
08-01-11,89.16473
09-01-11,89.66531
10-01-11,90.14362
11-01-11,91.56226
12-01-11,91.92348
01-01-12,93.44341
02-01-12,93.19366
03-01-12,93.34314
04-01-12,93.76638
05-01-12,93.12099
06-01-12,94.18691
07-01-12,94.05737
08-01-12,92.81709
09-01-12,94.38477
10-01-12,91.71591
11-01-12,93.03461
12-01-12,93.78314
01-01-13,92.47153
02-01-13,93.25498
03-01-13,92.50478
04-01-13,92.20688
05-01-13,93.41707
06-01-13,93.04659
07-01-13,93.16077
08-01-13,93.74430
09-01-13,92.64841
10-01-13,93.57803
11-01-13,93.29004
12-01-13,92.94228
01-01-14,94.41586
02-01-14,93.98583
03-01-14,96.12582
04-01-14,96.75931
05-01-14,97.18249
06-01-14,97.26465
07-01-14,97.73274
08-01-14,95.73343
09-01-14,96.80819
10-01-14,97.91655
11-01-14,98.43463
12-01-14,97.88670
01-01-15,97.92463
02-01-15,99.40434
03-01-15,98.63958
04-01-15,99.72813
05-01-15,99.19996
06-01-15,99.61794
07-01-15,99.64550
08-01-15,100.12850
09-01-15,101.87680
10-01-15,102.03030
11-01-15,100.77280
12-01-15,101.48480
01-01-16,100.89570
02-01-16,100.71290
03-01-16,99.89666
04-01-16,99.49988
05-01-16,99.99728
06-01-16,100.35640
07-01-16,100.46910
08-01-16,100.95230
09-01-16,100.59290
10-01-16,101.22970
11-01-16,102.09880
12-01-16,103.12320
01-01-17,104.16660
02-01-17,103.79080
03-01-17,104.02330
04-01-17,103.53280
05-01-17,103.56170
06-01-17,103.12970
07-01-17,103.18430
08-01-17,103.78200
09-01-17,101.89800
10-01-17,103.89080
11-01-17,104.38360
12-01-17,104.16460
01-01-18,103.47550
02-01-18,103.61080
03-01-18,105.15350
04-01-18,102.03480
05-01-18,105.39400
06-01-18,105.45830
07-01-18,105.49980
08-01-18,105.87220
09-01-18,106.64420
10-01-18,105.35850
11-01-18,106.25280
12-01-18,104.64870
01-01-19,104.93750
02-01-19,105.84670
03-01-19,104.76740
04-01-19,105.51330
05-01-19,105.88780
06-01-19,106.22010
07-01-19,106.14740
08-01-19,105.38590
09-01-19,106.41940
10-01-19,103.17530
11-01-19,102.74000
12-01-19,101.45330
01-01-20,103.48380
02-01-20,103.11400
03-01-20,98.74173
04-01-20,71.10749
05-01-20,71.92979
06-01-20,91.53301
07-01-20,96.89964
08-01-20,99.26463
09-01-20,104.01530
10-01-20,104.26640
11-01-20,104.34270
12-01-20,104.80530
01-01-21,104.53090
02-01-21,101.71520
03-01-21,105.70690
04-01-21,105.04960
05-01-21,104.06110
06-01-21,104.79670
07-01-21,104.75930
08-01-21,104.47810
09-01-21,102.57390
10-01-21,104.79680
11-01-21,105.79720
12-01-21,107.56720
01-01-22,108.47860
02-01-22,109.16000
03-01-22,109.02000
04-01-22,109.66890
05-01-22,110.52600
06-01-22,109.64390
07-01-22,110.78290
08-01-22,112.02240
09-01-22,111.05570
10-01-22,111.56000
11-01-22,111.81300
12-01-22,112.69650
01-01-23,112.03720
02-01-23,111.11210
03-01-23,110.49740
04-01-23,111.90150
05-01-23,111.49410
06-01-23,111.80310
07-01-23,111.93220
08-01-23,110.83890
09-01-23,112.72990
10-01-23,112.17170
11-01-23,111.66400
12-01-23,110.40110
01-01-24,110.53180
02-01-24,111.33210
03-01-24,112.20020
