observation_date,TURPROINDMISMEI
01-01-00,41.13284
02-01-00,42.61632
03-01-00,41.80715
04-01-00,42.88604
05-01-00,43.56035
06-01-00,44.09980
07-01-00,44.36952
08-01-00,45.44841
09-01-00,43.56035
10-01-00,44.23466
11-01-00,44.77411
12-01-00,43.02090
01-01-01,41.40256
02-01-01,41.80715
03-01-01,39.37963
04-01-01,39.24477
05-01-01,39.10991
06-01-01,39.37963
07-01-01,39.91908
08-01-01,40.99798
09-01-01,40.86311
10-01-01,38.57047
11-01-01,39.24477
12-01-01,39.10991
01-01-02,40.45853
02-01-02,42.88604
03-01-02,43.29063
04-01-02,44.09980
05-01-02,42.75118
06-01-02,43.15577
07-01-02,43.56035
08-01-02,43.83007
09-01-02,44.90897
10-01-02,43.96494
11-01-02,43.02090
12-01-02,45.58328
01-01-03,46.93190
02-01-03,45.58328
03-01-03,46.39245
04-01-03,44.90897
05-01-03,44.90897
06-01-03,46.79703
07-01-03,47.87593
08-01-03,49.08968
09-01-03,49.08968
10-01-03,48.55024
11-01-03,48.41537
12-01-03,49.35941
01-01-04,50.03371
02-01-04,50.43830
03-01-04,50.70802
04-01-04,51.65206
05-01-04,53.13554
06-01-04,52.59609
07-01-04,53.40526
08-01-04,53.00068
09-01-04,51.92178
10-01-04,50.16858
11-01-04,50.43830
12-01-04,51.38233
01-01-05,59.74376
02-01-05,57.31625
03-01-05,56.50708
04-01-05,57.18139
05-01-05,57.72084
06-01-05,57.58598
07-01-05,58.79973
08-01-05,59.74376
09-01-05,60.41807
10-01-05,61.49697
11-01-05,61.63183
12-01-05,61.09238
01-01-06,61.49697
02-01-06,62.03641
03-01-06,63.51989
04-01-06,62.98045
05-01-06,63.65475
06-01-06,63.92448
07-01-06,63.78962
08-01-06,63.65475
09-01-06,63.65475
10-01-06,64.05934
11-01-06,63.78962
12-01-06,66.08227
01-01-07,68.77950
02-01-07,67.16116
03-01-07,68.37492
04-01-07,68.64464
05-01-07,69.85840
06-01-07,68.37492
07-01-07,67.97033
08-01-07,69.04922
09-01-07,69.58867
10-01-07,69.04922
11-01-07,69.31895
12-01-07,71.20702
01-01-08,70.26298
02-01-08,71.61160
03-01-08,71.61160
04-01-08,70.66756
05-01-08,70.39784
06-01-08,70.80243
07-01-08,69.31895
08-01-08,68.37492
09-01-08,68.24005
10-01-08,64.73365
11-01-08,62.30614
12-01-08,60.68779
01-01-09,56.50708
02-01-09,57.72084
03-01-09,57.04653
04-01-09,57.99056
05-01-09,59.87862
06-01-09,61.63183
07-01-09,62.71072
08-01-09,61.90155
09-01-09,62.57586
10-01-09,63.78962
11-01-09,66.48685
12-01-09,63.65475
01-01-10,63.11531
02-01-10,64.59879
03-01-10,65.81255
04-01-10,66.48685
05-01-10,68.24005
06-01-10,68.64464
07-01-10,69.18409
08-01-10,70.80243
09-01-10,70.93729
10-01-10,71.74646
11-01-10,73.90425
12-01-10,75.11800
01-01-11,78.35468
02-01-11,77.14093
03-01-11,76.87121
04-01-11,76.73634
05-01-11,77.54552
06-01-11,79.02899
07-01-11,80.51247
08-01-11,82.93999
09-01-11,78.48955
10-01-11,82.93999
11-01-11,82.26568
12-01-11,82.26568
01-01-12,81.32165
02-01-12,80.24275
03-01-12,81.99596
04-01-12,82.93999
05-01-12,83.20971
06-01-12,82.67027
07-01-12,83.47943
08-01-12,82.26568
09-01-12,84.15374
10-01-12,84.28860
11-01-12,83.07485
12-01-12,84.28860
01-01-13,84.69319
02-01-13,86.44640
03-01-13,86.31153
04-01-13,86.98584
05-01-13,87.12070
06-01-13,89.81794
07-01-13,89.27849
08-01-13,86.85098
09-01-13,91.84087
10-01-13,90.89683
11-01-13,91.43628
12-01-13,91.03169
01-01-14,94.40324
02-01-14,93.59406
03-01-14,93.59406
04-01-14,92.78490
05-01-14,91.57114
06-01-14,93.45921
07-01-14,95.75185
08-01-14,91.03169
09-01-14,95.21241
10-01-14,94.13351
11-01-14,94.80782
12-01-14,94.80782
01-01-15,94.40324
02-01-15,94.40324
03-01-15,98.17937
04-01-15,98.58395
05-01-15,98.58395
06-01-15,99.52798
07-01-15,98.85368
08-01-15,101.82060
09-01-15,101.82060
10-01-15,99.39312
11-01-15,101.68580
12-01-15,102.49490
01-01-16,101.68580
02-01-16,102.76470
03-01-16,101.68580
04-01-16,101.95550
05-01-16,103.57380
06-01-16,103.16930
07-01-16,96.83075
08-01-16,104.11330
09-01-16,101.14630
10-01-16,105.59680
11-01-16,104.78760
12-01-16,104.11330
01-01-17,104.92250
02-01-17,106.67570
03-01-17,108.02430
04-01-17,110.99120
05-01-17,109.64260
06-01-17,110.18210
07-01-17,110.04720
08-01-17,113.41870
09-01-17,114.90220
10-01-17,115.30680
11-01-17,115.98110
12-01-17,119.08290
01-01-18,116.79030
02-01-18,115.98110
03-01-18,116.11600
04-01-18,117.59950
05-01-18,115.84630
06-01-18,112.47470
07-01-18,115.30680
08-01-18,114.90220
09-01-18,111.26100
10-01-18,108.96830
11-01-18,108.69860
12-01-18,106.94540
01-01-19,108.83340
02-01-19,110.04720
03-01-19,113.41870
04-01-19,112.74440
05-01-19,113.68850
06-01-19,108.83340
07-01-19,113.82330
08-01-19,110.72150
09-01-19,114.90220
10-01-19,113.28390
11-01-19,114.09310
12-01-19,116.38570
01-01-20,115.98110
02-01-20,119.08290
03-01-20,111.80040
04-01-20,79.02899
05-01-20,93.72893
06-01-20,108.42890
07-01-20,120.29670
08-01-20,122.18480
09-01-20,124.74710
10-01-20,125.01690
11-01-20,126.63520
12-01-20,127.30950
