observation_date,TURCPHPTT01IXEBM
01-01-00,11.45
02-01-00,11.85
03-01-00,12.22
04-01-00,12.52
05-01-00,12.79
06-01-00,12.84
07-01-00,13.10
08-01-00,13.34
09-01-00,13.73
10-01-00,14.17
11-01-00,14.69
12-01-00,14.98
01-01-01,15.37
02-01-01,15.59
03-01-01,16.69
04-01-01,18.67
05-01-01,19.69
06-01-01,20.37
07-01-01,20.83
08-01-01,21.44
09-01-01,22.80
10-01-01,24.28
11-01-01,25.37
12-01-01,26.15
01-01-02,27.75
02-01-02,28.13
03-01-02,28.42
04-01-02,29.04
05-01-02,29.16
06-01-02,29.29
07-01-02,29.70
08-01-02,30.36
09-01-02,31.42
10-01-02,32.50
11-01-02,33.53
12-01-02,34.06
01-01-03,34.95
02-01-03,35.79
03-01-03,36.94
04-01-03,37.76
05-01-03,38.38
06-01-03,38.25
07-01-03,37.99
08-01-03,37.96
09-01-03,38.56
10-01-03,39.05
11-01-03,39.71
12-01-03,39.98
01-01-04,40.29
02-01-04,40.50
03-01-04,40.88
04-01-04,41.09
05-01-04,41.27
06-01-04,41.21
07-01-04,41.41
08-01-04,41.73
09-01-04,42.12
10-01-04,43.07
11-01-04,43.63
12-01-04,43.89
01-01-05,44.00
02-01-05,44.09
03-01-05,44.25
04-01-05,44.43
05-01-05,44.97
06-01-05,44.91
07-01-05,44.60
08-01-05,44.94
09-01-05,45.48
10-01-05,46.29
11-01-05,46.85
12-01-05,47.00
01-01-06,47.35
02-01-06,47.45
03-01-06,47.58
04-01-06,48.22
05-01-06,49.13
06-01-06,49.29
07-01-06,49.71
08-01-06,49.49
09-01-06,50.13
10-01-06,50.76
11-01-06,51.42
12-01-06,51.54
01-01-07,52.05
02-01-07,52.27
03-01-07,52.75
04-01-07,53.39
05-01-07,53.66
06-01-07,53.53
07-01-07,53.14
08-01-07,53.15
09-01-07,53.70
10-01-07,54.67
11-01-07,55.74
12-01-07,55.86
01-01-08,56.31
02-01-08,57.03
03-01-08,57.58
04-01-08,58.55
05-01-08,59.43
06-01-08,59.21
07-01-08,59.55
08-01-08,59.41
09-01-08,59.67
10-01-08,61.23
11-01-08,61.74
12-01-08,61.48
01-01-09,61.66
02-01-09,61.45
03-01-09,62.12
04-01-09,62.14
05-01-09,62.53
06-01-09,62.61
07-01-09,62.76
08-01-09,62.58
09-01-09,62.83
10-01-09,64.34
11-01-09,65.15
12-01-09,65.50
01-01-10,66.71
02-01-10,67.67
03-01-10,68.07
04-01-10,68.47
05-01-10,68.23
06-01-10,67.85
07-01-10,67.52
08-01-10,67.79
09-01-10,68.63
10-01-10,69.88
11-01-10,69.90
12-01-10,69.69
01-01-11,69.97
02-01-11,70.49
03-01-11,70.78
04-01-11,71.39
05-01-11,73.12
06-01-11,72.07
07-01-11,71.78
08-01-11,72.30
09-01-11,72.85
10-01-11,75.23
11-01-11,76.53
12-01-11,76.97
01-01-12,77.42
02-01-12,77.89
03-01-12,78.20
04-01-12,79.45
05-01-12,79.28
06-01-12,78.56
07-01-12,78.39
08-01-12,78.77
09-01-12,79.51
10-01-12,81.15
11-01-12,81.37
12-01-12,81.69
01-01-13,83.15
02-01-13,83.48
03-01-13,84.07
04-01-13,84.23
05-01-13,84.30
06-01-13,84.88
07-01-13,85.13
08-01-13,85.08
09-01-13,85.78
10-01-13,87.40
11-01-13,87.34
12-01-13,87.77
01-01-14,89.66
02-01-14,90.10
03-01-14,91.18
04-01-14,92.12
05-01-14,92.26
06-01-14,92.70
07-01-14,93.17
08-01-14,93.45
09-01-14,93.48
10-01-14,95.28
11-01-14,95.36
12-01-14,94.98
01-01-15,96.12
02-01-15,96.96
03-01-15,98.13
04-01-15,99.43
05-01-15,99.92
06-01-15,99.75
07-01-15,99.77
08-01-15,100.06
09-01-15,100.87
10-01-15,102.60
11-01-15,103.08
12-01-15,103.31
01-01-16,105.35
02-01-16,105.35
03-01-16,105.31
04-01-16,105.99
05-01-16,106.47
06-01-16,106.76
07-01-16,108.09
08-01-16,107.96
09-01-16,108.26
10-01-16,109.94
11-01-16,110.28
12-01-16,112.11
01-01-17,114.87
02-01-17,115.80
03-01-17,116.98
04-01-17,118.51
05-01-17,119.04
06-01-17,118.72
07-01-17,118.89
08-01-17,119.51
09-01-17,120.29
10-01-17,122.79
11-01-17,124.62
12-01-17,125.48
01-01-18,126.76
02-01-18,127.69
03-01-18,128.96
04-01-18,131.37
05-01-18,133.50
06-01-18,136.99
07-01-18,137.74
08-01-18,140.91
09-01-18,149.79
10-01-18,153.79
11-01-18,151.57
12-01-18,150.96
01-01-19,152.57
02-01-19,152.81
03-01-19,154.39
04-01-19,157.00
05-01-19,158.49
06-01-19,158.53
07-01-19,160.68
08-01-19,162.07
09-01-19,163.67
10-01-19,166.95
11-01-19,167.59
12-01-19,168.83
01-01-20,171.11
02-01-20,171.71
03-01-20,172.70
04-01-20,174.17
05-01-20,176.54
06-01-20,178.54
07-01-20,179.59
08-01-20,181.13
09-01-20,182.90
10-01-20,186.80
11-01-20,191.09
12-01-20,193.48
