observation_date,SURETIM
01-01-00,91.5380
02-01-00,91.8239
03-01-00,92.1504
04-01-00,92.6989
05-01-00,92.9499
06-01-00,92.9862
07-01-00,92.8048
08-01-00,92.5521
09-01-00,92.9792
10-01-00,92.6179
11-01-00,92.6438
12-01-00,92.3415
01-01-01,91.9020
02-01-01,91.3034
03-01-01,91.1162
04-01-01,90.7891
05-01-01,90.3555
06-01-01,89.8784
07-01-01,89.3028
08-01-01,89.2003
09-01-01,88.7485
10-01-01,88.5052
11-01-01,87.9700
12-01-01,87.9324
01-01-02,88.5176
02-01-02,88.5278
03-01-02,89.1686
04-01-02,89.6040
05-01-02,89.9640
06-01-02,90.7061
07-01-02,90.6769
08-01-02,90.5762
09-01-02,90.6531
10-01-02,90.4643
11-01-02,90.9711
12-01-02,90.4652
01-01-03,91.2361
02-01-03,91.3445
03-01-03,91.1044
04-01-03,90.5617
05-01-03,90.5370
06-01-03,90.6527
07-01-03,91.1185
08-01-03,90.9197
09-01-03,91.5059
10-01-03,91.6186
11-01-03,92.2329
12-01-03,92.2602
01-01-04,92.4006
02-01-04,92.9580
03-01-04,92.5861
04-01-04,92.9300
05-01-04,93.6013
06-01-04,92.8710
07-01-04,93.5649
08-01-04,93.6277
09-01-04,93.7467
10-01-04,94.5465
11-01-04,94.7813
12-01-04,95.5365
01-01-05,95.8801
02-01-05,96.5761
03-01-05,96.4456
04-01-05,96.6532
05-01-05,96.7402
06-01-05,97.1753
07-01-05,96.8676
08-01-05,97.1833
09-01-05,95.3005
10-01-05,96.4572
11-01-05,97.5414
12-01-05,98.0452
01-01-06,98.1999
02-01-06,98.2413
03-01-06,98.4628
04-01-06,98.7618
05-01-06,98.7869
06-01-06,99.0997
07-01-06,99.0489
08-01-06,99.4836
09-01-06,99.3183
10-01-06,99.2044
11-01-06,99.1627
12-01-06,100.1735
01-01-07,99.8346
02-01-07,100.7753
03-01-07,100.9547
04-01-07,101.6334
05-01-07,101.7306
06-01-07,101.7893
07-01-07,101.6672
08-01-07,101.8630
09-01-07,102.0894
10-01-07,101.8015
11-01-07,102.3446
12-01-07,102.3803
01-01-08,102.2448
02-01-08,101.8438
03-01-08,101.5336
04-01-08,100.8785
05-01-08,100.2674
06-01-08,100.0335
07-01-08,99.6760
08-01-08,98.1111
09-01-08,93.7895
10-01-08,94.7219
11-01-08,93.4715
12-01-08,90.8357
01-01-09,88.5700
02-01-09,88.0310
03-01-09,86.6528
04-01-09,85.9344
05-01-09,85.0665
06-01-09,84.7459
07-01-09,85.7027
08-01-09,86.6426
09-01-09,87.4063
10-01-09,87.6419
11-01-09,88.0221
12-01-09,88.3793
01-01-10,89.3426
02-01-10,89.6779
03-01-10,90.2928
04-01-10,90.5991
05-01-10,91.8230
06-01-10,91.9928
07-01-10,92.3421
08-01-10,92.6805
09-01-10,92.9537
10-01-10,92.6903
11-01-10,92.7709
12-01-10,93.6787
01-01-11,93.4814
02-01-11,93.1102
03-01-11,94.0788
04-01-11,93.7749
05-01-11,93.8880
06-01-11,94.1720
07-01-11,94.6360
08-01-11,95.2749
09-01-11,95.1961
10-01-11,95.8568
11-01-11,95.8485
12-01-11,96.3571
01-01-12,96.9318
02-01-12,97.2435
03-01-12,96.7400
04-01-12,97.4359
05-01-12,97.6609
06-01-12,97.6663
07-01-12,97.8713
08-01-12,97.4525
09-01-12,97.3810
10-01-12,97.7193
11-01-12,98.0777
12-01-12,98.3101
01-01-13,98.3342
02-01-13,98.7941
03-01-13,99.1921
04-01-13,99.1065
05-01-13,99.1839
06-01-13,99.3897
07-01-13,99.0814
08-01-13,99.6543
09-01-13,100.1610
10-01-13,100.0820
11-01-13,100.3158
12-01-13,100.5175
01-01-14,100.1599
02-01-14,100.9168
03-01-14,101.8942
04-01-14,101.9928
05-01-14,102.3836
06-01-14,102.7350
07-01-14,102.9632
08-01-14,102.7688
09-01-14,103.0641
10-01-14,103.0764
11-01-14,103.7126
12-01-14,103.7044
01-01-15,102.8905
02-01-15,102.2335
03-01-15,101.8914
04-01-15,101.3355
05-01-15,100.8883
06-01-15,100.5710
07-01-15,101.2228
08-01-15,101.0367
09-01-15,100.7547
10-01-15,100.2675
11-01-15,99.5298
12-01-15,99.0417
01-01-16,99.5607
02-01-16,99.0445
03-01-16,98.3096
04-01-16,98.6421
05-01-16,98.4184
06-01-16,98.8833
07-01-16,98.9992
08-01-16,98.8500
09-01-16,98.7457
10-01-16,98.7611
11-01-16,98.3491
12-01-16,99.0214
01-01-17,98.7611
02-01-17,98.3646
03-01-17,99.0137
04-01-17,100.0224
05-01-17,100.1408
06-01-17,100.3471
07-01-17,100.1068
08-01-17,99.6925
09-01-17,99.7954
10-01-17,101.0247
11-01-17,101.2664
12-01-17,101.4644
01-01-18,101.4625
02-01-18,101.7085
03-01-18,102.2067
04-01-18,103.3329
05-01-18,102.4024
06-01-18,103.1980
07-01-18,103.3646
08-01-18,104.0327
09-01-18,104.1004
10-01-18,103.9856
11-01-18,104.0681
12-01-18,104.0936
01-01-19,103.4021
02-01-19,102.8371
03-01-19,102.8757
04-01-19,102.2740
05-01-19,102.3920
06-01-19,102.4375
07-01-19,101.9408
08-01-19,102.6390
09-01-19,102.2917
10-01-19,101.4281
11-01-19,101.9372
12-01-19,101.7003
01-01-20,101.0338
02-01-20,101.3735
03-01-20,97.4078
04-01-20,84.5619
05-01-20,85.9604
06-01-20,91.5934
07-01-20,95.0256
08-01-20,95.9549
09-01-20,95.9669
10-01-20,96.7394
11-01-20,97.0816
12-01-20,98.3630
01-01-21,98.8822
02-01-21,95.6149
03-01-21,98.3856
04-01-21,98.5587
05-01-21,99.4333
06-01-21,99.7987
07-01-21,100.2519
08-01-21,100.0437
09-01-21,98.8579
10-01-21,100.1861
11-01-21,100.8654
12-01-21,100.5726
01-01-22,100.1856
02-01-22,100.8064
03-01-22,101.3907
04-01-22,101.4400
05-01-22,101.3335
06-01-22,101.0180
07-01-22,101.2230
08-01-22,101.0963
09-01-22,101.2918
10-01-22,101.2529
11-01-22,100.9552
12-01-22,99.7664
01-01-23,100.5050
02-01-23,100.6416
03-01-23,101.0205
04-01-23,101.2530
05-01-23,100.9286
06-01-23,100.1196
07-01-23,100.9067
08-01-23,100.8393
09-01-23,101.0211
10-01-23,100.4689
11-01-23,100.8639
12-01-23,100.6031
01-01-24,99.2223
02-01-24,100.2850
03-01-24,100.4575
04-01-24,100.2434
05-01-24,100.8630
06-01-24,100.8940
07-01-24,99.9757
08-01-24,100.4309
09-01-24,99.8084
10-01-24,99.4695
11-01-24,99.2925
12-01-24,100.3273
