observation_date,Brezilya_ISFAIZ
10-01-00,16.50
11-01-00,16.50
12-01-00,15.75
01-01-01,15.25
02-01-01,15.25
03-01-01,15.75
04-01-01,16.25
05-01-01,16.75
06-01-01,18.25
07-01-01,19.00
08-01-01,19.00
09-01-01,19.00
10-01-01,19.00
11-01-01,19.00
12-01-01,19.00
01-01-02,19.00
02-01-02,18.75
03-01-02,18.50
04-01-02,18.50
05-01-02,18.50
06-01-02,18.50
07-01-02,18.00
08-01-02,18.00
09-01-02,18.00
10-01-02,21.00
11-01-02,22.00
12-01-02,25.00
01-01-03,25.50
02-01-03,26.50
03-01-03,26.50
04-01-03,26.50
05-01-03,26.50
06-01-03,26.00
07-01-03,24.50
08-01-03,22.00
09-01-03,20.00
10-01-03,19.00
11-01-03,17.50
12-01-03,16.50
01-01-04,16.50
02-01-04,16.50
03-01-04,16.25
04-01-04,16.00
05-01-04,16.00
06-01-04,16.00
07-01-04,16.00
08-01-04,16.00
09-01-04,16.25
10-01-04,16.75
11-01-04,17.25
12-01-04,17.75
01-01-05,18.25
02-01-05,18.75
03-01-05,19.25
04-01-05,19.50
05-01-05,19.75
06-01-05,19.75
07-01-05,19.75
08-01-05,19.75
09-01-05,19.50
10-01-05,19.00
11-01-05,18.50
12-01-05,18.00
01-01-06,17.25
02-01-06,17.25
03-01-06,16.50
04-01-06,15.75
05-01-06,15.75
06-01-06,15.25
07-01-06,14.75
08-01-06,14.25
09-01-06,14.25
10-01-06,13.75
11-01-06,13.25
12-01-06,13.25
01-01-07,13.00
02-01-07,13.00
03-01-07,12.75
04-01-07,12.50
05-01-07,12.50
06-01-07,12.00
07-01-07,11.50
08-01-07,11.50
09-01-07,11.25
10-01-07,11.25
11-01-07,11.25
12-01-07,11.25
01-01-08,11.25
02-01-08,11.25
03-01-08,11.25
04-01-08,11.75
05-01-08,11.75
06-01-08,12.25
07-01-08,13.00
08-01-08,13.00
09-01-08,13.75
10-01-08,13.75
11-01-08,13.75
12-01-08,13.75
01-01-09,12.75
02-01-09,12.75
03-01-09,11.25
04-01-09,10.25
05-01-09,10.25
06-01-09,9.25
07-01-09,8.75
08-01-09,8.75
09-01-09,8.75
10-01-09,8.75
11-01-09,8.75
12-01-09,8.75
01-01-10,8.75
02-01-10,8.75
03-01-10,8.75
04-01-10,9.50
05-01-10,9.50
06-01-10,10.25
07-01-10,10.75
08-01-10,10.75
09-01-10,10.75
10-01-10,10.75
11-01-10,10.75
12-01-10,10.75
01-01-11,11.25
02-01-11,11.25
03-01-11,11.75
04-01-11,12.00
05-01-11,12.00
06-01-11,12.25
07-01-11,12.50
