observation_date,Brezilya_SURETIM
01-01-00,80.67756
02-01-00,80.78286
03-01-00,82.10789
04-01-00,82.87132
05-01-00,82.63438
06-01-00,84.65264
07-01-00,85.24934
08-01-00,85.23180
09-01-00,84.21389
10-01-00,86.03909
11-01-00,85.31954
12-01-00,89.15423
01-01-01,86.99557
02-01-01,87.89063
03-01-01,86.65335
04-01-01,86.35500
05-01-01,87.02190
06-01-01,85.94257
07-01-01,85.73197
08-01-01,85.74952
09-01-01,84.10859
10-01-01,82.17809
11-01-01,83.13457
12-01-01,83.38026
01-01-02,85.77971
02-01-02,87.73267
03-01-02,87.24746
04-01-02,87.47028
05-01-02,87.39251
06-01-02,87.77030
07-01-02,88.06416
08-01-02,87.24557
09-01-02,87.64798
10-01-02,87.99908
11-01-02,87.88920
12-01-02,87.63947
01-01-03,87.84505
02-01-03,87.40852
03-01-03,87.49150
04-01-03,87.20711
05-01-03,85.95061
06-01-03,86.31000
07-01-03,85.65563
08-01-03,86.84097
09-01-03,89.37434
10-01-03,89.63532
11-01-03,90.77323
12-01-03,89.32720
01-01-04,91.04170
02-01-04,92.58765
03-01-04,92.96783
04-01-04,93.70557
05-01-04,94.66549
06-01-04,94.89680
07-01-04,95.62466
08-01-04,96.67558
09-01-04,97.07556
10-01-04,96.45507
11-01-04,96.43828
12-01-04,96.98322
01-01-05,97.58396
02-01-05,96.23803
03-01-05,97.14095
04-01-05,97.17412
05-01-05,100.36530
06-01-05,98.56404
07-01-05,97.88394
08-01-05,97.94463
09-01-05,97.35982
10-01-05,96.82729
11-01-05,97.76615
12-01-05,99.37508
01-01-06,99.80729
02-01-06,100.57400
03-01-06,99.94855
04-01-06,100.52220
05-01-06,101.16620
06-01-06,99.77428
07-01-06,100.69350
08-01-06,100.53160
09-01-06,99.58512
10-01-06,100.28470
11-01-06,101.60480
12-01-06,102.28490
01-01-07,102.02540
02-01-07,103.33420
03-01-07,104.67970
04-01-07,105.72350
05-01-07,106.03430
06-01-07,106.59080
07-01-07,106.29760
08-01-07,107.74210
09-01-07,106.94640
10-01-07,109.60070
11-01-07,108.54210
12-01-07,108.92640
01-01-08,110.70320
02-01-08,110.42180
